"","Pos","Points","Assists","Rebounds","Year"
"6006","C",1.6,0.6,2.5,2012
"6007","SG",5.5,1.5,2,2012
"6008","SG",13,5.4,5.3,2013
"6009","PG",9.6,5.9,2.9,2013
"6010","PF",3.7,0.3,2.4,2013
"6011","SF",12.1,1.5,2.9,2013
"6012","SF",16.2,2.5,5.2,2013
"6013","SG",5.3,1.2,1,2013
"6014","C",9.1,0.3,4.8,2013
"6015","SF",5.2,0.6,2.4,2013
"6016","PG",1.8,0.5,0.8,2013
"6017","PF",11.5,1,9.2,2013
"6018","C",8,0.4,6.9,2013
"6019","PF",1.3,0.4,0.2,2013
"6020","C",2.6,0.2,2.6,2013
"6021","PG",16.7,6.9,2.7,2013
"6022","PF",13,1.3,5,2013
"6023","SF",9.3,4.2,4.6,2014
"6024","C",7.3,1.7,10,2014
"6025","PF",18.2,2.1,9.3,2014
"6026","SF",6.2,1.9,4.9,2014
"6027","SF",9.5,1.5,3.9,2014
"6028","C",1.7,0.3,3.2,2014
"6029","PF",7.9,0.6,5.5,2014
"6030","SG",11,3.5,2.2,2014
"6031","SG",18.4,2.2,3.1,2014
"6032","C",6.4,0.4,3.7,2014
"6033","SG",1.1,0.5,0.6,2014
"6034","C",0.7,0.1,1,2014
"6035","PG",24,8.5,4.3,2014
"6036","PG",6.9,5.6,2.9,2014
"6037","SF",7.8,3,3.4,2015
"6038","C",6.3,2.7,8.1,2015
"6039","SG",0.9,0.4,1.2,2015
"6040","PF",7.9,1.7,5.3,2015
"6041","PF",11.7,3.7,8.1,2015
"6042","C",4.4,0.2,3.4,2015
"6043","SF",10.1,1.4,5.5,2015
"6044","PF",4.1,0.1,2.5,2015
"6045","SG",4.3,0.8,1.2,2015
"6046","SG",21.7,2.9,3.3,2015
"6047","SG",7.1,1.5,1.3,2015
"6048","C",10.4,0.9,4.2,2015
"6049","C",1.3,0.4,1,2015
"6050","PG",5.9,3.3,2.4,2015
"6051","PG",23.8,7.7,4.3,2015
"6052","SF",6,3.3,3.9,2018
"6053","PF",0,0,1,2018
"6054","C",1.7,0.1,0.9,2018
"6055","C",6.8,1.9,3.3,2018
"6056","PF",11,7.3,7.7,2018
"6057","C",4.8,0.5,2.6,2018
"6058","C",4.6,1.8,3.7,2018
"6059","SF",26.4,5.4,6.9,2018
"6060","C",4,0.6,3.3,2018
"6061","SG",20,2.5,3.8,2018
"6062","SG",7.3,0.5,1.6,2018
"6063","SF",5.7,1,3.8,2018
"6064","SG",4,1.4,1.5,2018
"6065","PG",9.5,2.7,2.5,2018
"6066","PG",5.5,2,1.9,2018
"6067","PG",26.4,6.1,5.1,2018
"6068","C",5.4,1.6,4.7,2018
"6069","SF",4.6,2.4,3.7,2020
"6070","PF",15.9,5.1,10.2,2020
"6071","PF",3,0.5,2.9,2020
"6072","PG",0.8,0.3,0,2020
"6073","SF",8.5,1.1,3.9,2020
"6074","SG",13.5,1.4,3.1,2020
"6075","PG",2.4,0.7,0.6,2020
"6076","PG",16.2,5.1,3.2,2020
"6077","SF",10.5,2.5,5.9,2020
"6078","SF",19.9,6,6.6,2020
"6079","SG",11.3,4,6.7,2020
"6080","PF",1.4,0.2,1,2020
"6081","C",8.2,1.7,4.6,2020
"6082","PG",15.3,3.3,2.7,2020
"6083","C",1,0,1.5,2020
"6084","C",6.1,1.1,5.1,2020
"6085","PF",5.5,1.8,2.8,2020
